DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,4136001,iq8k7ZNt4Mwm3w0,27.0047637,25.0607889,0
2020-05-15 00:15:00,4136001,iq8k7ZNt4Mwm3w0,26.8808114333,24.4218688333,0
2020-05-15 00:30:00,4136001,iq8k7ZNt4Mwm3w0,26.6820553448,24.4272903103,0
2020-05-15 00:45:00,4136001,iq8k7ZNt4Mwm3w0,26.5005889,24.4206776,0
2020-05-15 01:00:00,4136001,iq8k7ZNt4Mwm3w0,26.596148,25.0882104138,0
2020-05-15 01:15:00,4136001,iq8k7ZNt4Mwm3w0,26.5127400333,25.3179696667,0
2020-05-15 01:30:00,4136001,iq8k7ZNt4Mwm3w0,26.4943389667,25.2171925333,0
2020-05-15 01:45:00,4136001,iq8k7ZNt4Mwm3w0,26.4204102069,25.0650623103,0
2020-05-15 02:00:00,4136001,iq8k7ZNt4Mwm3w0,26.4019461333,24.6914693667,0
2020-05-15 02:15:00,4136001,iq8k7ZNt4Mwm3w0,26.2260782069,24.5594807931,0
2020-05-15 02:30:00,4136001,iq8k7ZNt4Mwm3w0,26.2603992,24.4824066333,0
2020-05-15 02:45:00,4136001,iq8k7ZNt4Mwm3w0,26.2978261,24.4886982,0
2020-05-15 03:00:00,4136001,iq8k7ZNt4Mwm3w0,26.3282491034,24.5062896207,0
2020-05-15 03:15:00,4136001,iq8k7ZNt4Mwm3w0,26.1587097333,24.5951974333,0
2020-05-15 03:30:00,4136001,iq8k7ZNt4Mwm3w0,26.0784993333,24.8013143667,0
2020-05-15 03:45:00,4136001,iq8k7ZNt4Mwm3w0,26.0013039655,24.6078174483,0
2020-05-15 04:00:00,4136001,iq8k7ZNt4Mwm3w0,25.6972106,24.626179,0
2020-05-15 04:15:00,4136001,iq8k7ZNt4Mwm3w0,25.6277024138,24.773145069,0
2020-05-15 04:30:00,4136001,iq8k7ZNt4Mwm3w0,25.4820457857,24.79669075,0
2020-05-15 04:45:00,4136001,iq8k7ZNt4Mwm3w0,25.2309316897,24.4369042759,0
2020-05-15 05:00:00,4136001,iq8k7ZNt4Mwm3w0,25.1175986,24.1045796333,0
2020-05-15 05:15:00,4136001,iq8k7ZNt4Mwm3w0,25.0918621,23.897232,0
2020-05-15 05:30:00,4136001,iq8k7ZNt4Mwm3w0,24.9169678276,23.8394713103,0
2020-05-15 05:45:00,4136001,iq8k7ZNt4Mwm3w0,24.7412738,23.7866618,0.0028380545
2020-05-15 06:00:00,4136001,iq8k7ZNt4Mwm3w0,24.7427865667,24.0772298333,0.0129619781
2020-05-15 06:15:00,4136001,iq8k7ZNt4Mwm3w0,24.7639108966,24.3561894483,0.0210376687
2020-05-15 06:30:00,4136001,iq8k7ZNt4Mwm3w0,24.7863229,24.5488861,0.042435399
2020-05-15 06:45:00,4136001,iq8k7ZNt4Mwm3w0,25.0482451034,25.746662,0.1034958783
2020-05-15 07:00:00,4136001,iq8k7ZNt4Mwm3w0,25.6732025,28.6747070333,0.1994504837
2020-05-15 07:15:00,4136001,iq8k7ZNt4Mwm3w0,26.076818,30.725504931,0.3176650259
2020-05-15 07:30:00,4136001,iq8k7ZNt4Mwm3w0,26.4242390667,32.2068035667,0.3829133633
2020-05-15 07:45:00,4136001,iq8k7ZNt4Mwm3w0,27.1202875172,34.5915622069,0.4482866631
2020-05-15 08:00:00,4136001,iq8k7ZNt4Mwm3w0,27.6789702667,35.7058563667,0.4550275753
2020-05-15 08:15:00,4136001,iq8k7ZNt4Mwm3w0,27.9534923333,36.7868977333,0.509315263
2020-05-15 08:30:00,4136001,iq8k7ZNt4Mwm3w0,28.5262146552,38.6177494828,0.5709116793
2020-05-15 08:45:00,4136001,iq8k7ZNt4Mwm3w0,29.3190214667,40.7380359,0.6253999813
2020-05-15 09:00:00,4136001,iq8k7ZNt4Mwm3w0,29.5720436207,41.4715040345,0.6542055952
2020-05-15 09:15:00,4136001,iq8k7ZNt4Mwm3w0,30.0914072333,43.4653736,0.7024373413
2020-05-15 09:30:00,4136001,iq8k7ZNt4Mwm3w0,30.6386583793,44.1451964138,0.7566826428
2020-05-15 09:45:00,4136001,iq8k7ZNt4Mwm3w0,31.3751200333,45.719524,0.799745994
2020-05-15 10:00:00,4136001,iq8k7ZNt4Mwm3w0,31.8920938333,46.1311739,0.828095938
2020-05-15 10:15:00,4136001,iq8k7ZNt4Mwm3w0,32.4374798621,47.1435082759,0.8748338507
2020-05-15 10:30:00,4136001,iq8k7ZNt4Mwm3w0,33.0741352667,48.6802898,0.9080560733
2020-05-15 10:45:00,4136001,iq8k7ZNt4Mwm3w0,33.1924701034,50.2495601724,0.9433527083
2020-05-15 11:00:00,4136001,iq8k7ZNt4Mwm3w0,33.4620566667,51.6109913333,0.9579001053
2020-05-15 11:15:00,4136001,iq8k7ZNt4Mwm3w0,34.2517951724,54.8943018966,0.9704477541
2020-05-15 11:30:00,4136001,iq8k7ZNt4Mwm3w0,34.6514546667,56.0839529333,0.987932009
2020-05-15 11:45:00,4136001,iq8k7ZNt4Mwm3w0,35.1515259655,55.5937952759,0.9533445176
2020-05-15 12:00:00,4136001,iq8k7ZNt4Mwm3w0,35.1661050333,57.4882405,0.9469201943
2020-05-15 12:15:00,4136001,iq8k7ZNt4Mwm3w0,36.3775709655,57.5885816207,0.9771876234
2020-05-15 12:30:00,4136001,iq8k7ZNt4Mwm3w0,35.9663575667,58.8881528,0.9562375367
2020-05-15 12:45:00,4136001,iq8k7ZNt4Mwm3w0,35.9929465,57.7294860333,0.9790904167
2020-05-15 13:00:00,4136001,iq8k7ZNt4Mwm3w0,36.4585814483,60.3893767931,0.9264382121
2020-05-15 13:15:00,4136001,iq8k7ZNt4Mwm3w0,36.9395640667,56.8595040333,0.904246814
2020-05-15 13:30:00,4136001,iq8k7ZNt4Mwm3w0,36.8907934483,57.1486732759,0.8954739062
2020-05-15 13:45:00,4136001,iq8k7ZNt4Mwm3w0,36.6143780667,52.9806112,0.8660270623
2020-05-15 14:00:00,4136001,iq8k7ZNt4Mwm3w0,36.842766069,54.8100048966,0.8379443869
2020-05-15 14:15:00,4136001,iq8k7ZNt4Mwm3w0,37.3528292,53.5389466,0.82612858
