DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,4135001,HmiyD2TTLFNqkNe,25.1843161333,22.8575074,0
2020-05-15 00:15:00,4135001,HmiyD2TTLFNqkNe,25.0845886667,22.7616678667,0
2020-05-15 00:30:00,4135001,HmiyD2TTLFNqkNe,24.9357526,22.5923055333,0
2020-05-15 00:45:00,4135001,HmiyD2TTLFNqkNe,24.8461304,22.3608521333,0
2020-05-15 01:00:00,4135001,HmiyD2TTLFNqkNe,24.6215253571,22.1654226429,0
2020-05-15 01:15:00,4135001,HmiyD2TTLFNqkNe,24.5360922,21.9685708667,0
2020-05-15 01:30:00,4135001,HmiyD2TTLFNqkNe,24.6386738667,22.3529256667,0
2020-05-15 01:45:00,4135001,HmiyD2TTLFNqkNe,24.8730223333,23.1609192,0
2020-05-15 02:00:00,4135001,HmiyD2TTLFNqkNe,24.9369304667,23.026113,0
2020-05-15 02:15:00,4135001,HmiyD2TTLFNqkNe,25.0122476,23.3432292667,0
2020-05-15 02:30:00,4135001,HmiyD2TTLFNqkNe,25.0051493333,23.6394592667,0
2020-05-15 02:45:00,4135001,HmiyD2TTLFNqkNe,24.9930195333,24.0394858,0
2020-05-15 03:00:00,4135001,HmiyD2TTLFNqkNe,25.0163094286,24.3841355714,0
2020-05-15 03:15:00,4135001,HmiyD2TTLFNqkNe,24.9852152667,24.3515077333,0
2020-05-15 03:30:00,4135001,HmiyD2TTLFNqkNe,24.9377319333,24.0602965333,0
2020-05-15 03:45:00,4135001,HmiyD2TTLFNqkNe,24.8790995333,23.7097941333,0
2020-05-15 04:00:00,4135001,HmiyD2TTLFNqkNe,24.6789022,22.5899415333,0
2020-05-15 04:15:00,4135001,HmiyD2TTLFNqkNe,24.3519308,21.7836425333,0
2020-05-15 04:30:00,4135001,HmiyD2TTLFNqkNe,24.0626222,21.8525249333,0
2020-05-15 04:45:00,4135001,HmiyD2TTLFNqkNe,24.0132242,22.306315,0
2020-05-15 05:00:00,4135001,HmiyD2TTLFNqkNe,24.1771058,22.5519084667,0
